service_date,day_type,bus,rail_boardings,total_rides
02/01/2010,W,1091041,648428,1739469
07/15/2006,A,603018,412144,1015162
08/26/2017,A,487453,446049,933502
12/25/2007,U,249699,111582,361281
07/08/2005,W,950222,591325,1541547
01/05/2006,W,766560,550285,1316845
11/14/2023,W,581009,424128,1005137
11/28/2017,W,847910,753208,1601118
05/05/2004,W,1019276,622837,1642113
06/16/2014,W,796802,729177,1525979
04/01/2017,A,517493,433603,951096
07/10/2013,W,961940,756010,1717950
01/19/2008,A,414819,231306,646125
08/07/2022,U,202042,193344,395386
02/19/2003,W,982943,605097,1588040
07/23/2017,U,380247,372309,752556
02/05/2013,W,1021386,733180,1754566
05/29/2002,W,980049,601576,1581625
04/17/2019,W,710771,699083,1409854
07/09/2014,W,855793,763164,1618957
09/20/2011,W,1094671,787667,1882338
01/07/2010,W,901941,616491,1518432
10/19/2017,W,876423,848003,1724426
12/28/2024,A,348599,222891,571490
01/06/2006,W,788239,551707,1339946
01/05/2005,W,851226,558698,1409924
05/31/2023,W,517111,389469,906580
10/15/2021,W,456194,338278,794472
06/06/2021,U,204309,148509,352818
05/10/2002,W,1047188,609528,1656716
07/24/2005,U,393689,255844,649533
05/03/2009,U,528055,291070,819125
04/23/2005,A,541013,297122,838135
09/25/2014,W,963447,824454,1787901
03/07/2006,W,1006095,626557,1632652
04/12/2023,W,516841,388965,905806
04/08/2014,W,913012,773383,1686395
11/02/2006,W,1012046,671054,1683100
03/08/2008,A,590236,294749,884985
09/26/2003,W,939175,643987,1583162
03/10/2017,W,816750,730837,1547587
12/17/2022,A,273704,221530,495234
03/18/2015,W,937056,771625,1708681
01/28/2004,W,887763,565269,1453032
08/26/2019,W,693566,678343,1371909
03/12/2016,A,542246,605182,1147428
03/17/2010,W,1043518,689789,1733307
04/24/2011,U,415484,274724,690208
12/02/2003,W,984587,605675,1590262
02/20/2018,W,786356,718493,1504849
06/30/2014,W,766381,697417,1463798
05/12/2003,W,956974,580553,1537527
03/12/2015,W,953310,790210,1743520
12/21/2007,W,1014168,563789,1577957
07/27/2017,W,770692,770016,1540708
12/26/2014,W,569843,422543,992386
04/15/2007,U,447385,250988,698373
04/16/2014,W,866995,757767,1624762
12/19/2010,U,404153,269162,673315
05/25/2020,U,170039,52921,222960
